iter	RMSE
0	0.3779562624
1	0.3659747809
2	0.3537045634
3	0.3426615452
4	0.3333508868
5	0.3237404955
6	0.3150696264
7	0.3067731519
8	0.2975163244
9	0.2894842153
10	0.2815839891
11	0.2741046407
12	0.2674352332
13	0.2611315582
14	0.2546321675
15	0.2485175287
16	0.2429064552
17	0.2373823989
18	0.2324158341
19	0.2270738305
20	0.2219421397
21	0.2174200956
22	0.2131217518
23	0.208734736
24	0.2050596902
25	0.2014688552
26	0.1978294802
27	0.194631174
28	0.1918897523
29	0.1887243483
30	0.1856513567
31	0.182479839
32	0.1796548155
33	0.1768311353
34	0.1742532854
35	0.1718936453
36	0.1697505122
37	0.167567397
38	0.1655657222
39	0.1635957389
40	0.1616452574
41	0.1597772654
42	0.1578583319
43	0.1560249217
44	0.1541172579
45	0.1524033462
46	0.1507843354
47	0.1491912112
48	0.1478064633
49	0.1465933075
50	0.145069598
51	0.1439085606
52	0.1428881922
53	0.1417964175
54	0.1405922541
55	0.1395663331
56	0.1384346989
57	0.1373716027
58	0.1362006255
59	0.1353952919
60	0.1345976957
61	0.1336373172
62	0.1327047789
63	0.131670919
64	0.1307970524
65	0.130172444
66	0.1294640293
67	0.1286983596
68	0.127794094
69	0.1271487456
70	0.1264380417
71	0.1257512559
72	0.124990392
73	0.1244742443
74	0.1238316704
75	0.1231026937
76	0.1223764049
77	0.1217530726
78	0.1210827737
79	0.120491104
80	0.1198892926
81	0.1193311929
82	0.1187321984
83	0.1182037718
84	0.117760712
85	0.117242024
86	0.1168369911
87	0.116370915
88	0.115930609
89	0.115559618
90	0.1149796613
91	0.1145985053
92	0.1141582573
93	0.1137945581
94	0.1133700827
95	0.1128203515
96	0.112260429
97	0.1119219429
98	0.1114188331
99	0.1109421101
100	0.1105932705
101	0.1103002734
102	0.1099335934
103	0.1096068482
104	0.1090461799
105	0.1087335292
106	0.1084064806
107	0.1081169558
108	0.1078210213
109	0.1075561927
110	0.1072657941
111	0.1068704004
112	0.1065582395
113	0.1064917637
114	0.1063140854
115	0.1059217301
116	0.1056201073
117	0.1053349399
118	0.1050611922
119	0.1047875762
120	0.1045318726
121	0.1042781293
122	0.1040433825
123	0.1037950808
124	0.1034812611
125	0.1031346655
126	0.102960446
127	0.1026970848
128	0.1024262801
129	0.1022053395
130	0.1020200911
131	0.1018662166
132	0.1015309534
133	0.1011439828
134	0.1009490222
135	0.100628232
136	0.1002706255
137	0.09999247746
138	0.09974592321
139	0.09953135263
140	0.0991742537
141	0.09892813413
142	0.09866812243
143	0.09844375788
144	0.09817716001
145	0.09787139926
146	0.09764057164
147	0.09733831056
148	0.09712968636
149	0.09687953879
150	0.09667072938
151	0.09651794305
152	0.09626639979
153	0.09608804434
154	0.09580957643
155	0.09551440987
156	0.09531968784
157	0.09504174516
158	0.09475182663
159	0.09456405436
160	0.0943314518
161	0.0939406919
162	0.09373360257
163	0.09354542666
164	0.09334116721
165	0.0932472024
166	0.09299024191
167	0.09278082093
168	0.09260498358
169	0.09236131029
170	0.09211679076
171	0.09193079846
172	0.09178325895
173	0.09154553022
174	0.09134182412
175	0.09108240884
176	0.09084454972
177	0.09077831488
178	0.09065455138
179	0.09043443507
180	0.09022171577
181	0.08999121097
182	0.08979647371
183	0.0895611164
184	0.08932828049
185	0.08911553104
186	0.08892634413
187	0.08874596982
188	0.08858423218
189	0.08838605377
190	0.0881536364
191	0.08788265159
192	0.0877009106
193	0.08748856731
194	0.08733156612
195	0.08713152386
196	0.0869080998
197	0.08681451075
198	0.08656777254
199	0.08640841455
200	0.08611118168
201	0.08588235553
202	0.08573351659
203	0.08552440083
204	0.08533099745
205	0.08520367429
206	0.08494343582
207	0.08472247405
208	0.08455500776
209	0.08442210171
210	0.08431196538
211	0.08424553427
212	0.08404763367
213	0.08383019044
214	0.08368390349
215	0.08346467443
216	0.08329037503
217	0.08310963437
218	0.08289877835
219	0.08271203146
220	0.08258532591
221	0.08237885543
222	0.08222838033
223	0.08201542306
224	0.0818359628
225	0.08171723885
226	0.08153948018
227	0.08123800977
228	0.08110415479
229	0.08098766654
230	0.08085706305
231	0.08069095534
232	0.08053061047
233	0.08048102757
234	0.0803128748
235	0.08015604751
236	0.08003136224
237	0.07987580487
238	0.07974466455
239	0.07965622776
240	0.07947773378
241	0.07941210423
242	0.07923463162
243	0.07913435194
244	0.07894868439
245	0.0788862746
246	0.07872695698
247	0.0785699975
248	0.07841098688
249	0.07816593867
250	0.07794904651
251	0.07782314203
252	0.07772422604
253	0.07759214061
254	0.07743775755
255	0.07730156122
256	0.07725999418
257	0.07715196597
258	0.07698915452
259	0.07683343406
260	0.07678183124
261	0.0767210314
262	0.07650455243
263	0.07642993616
264	0.0763808039
265	0.07620532103
266	0.07607341017
267	0.07597673673
268	0.07582464947
269	0.07572748859
270	0.07562289013
271	0.07558247102
272	0.0753558728
273	0.07524544032
274	0.07504308877
275	0.07488558681
276	0.07471374984
277	0.07457368006
278	0.07443814573
279	0.07428005755
280	0.07415004433
281	0.07406348585
282	0.07398309124
283	0.07383204637
284	0.07378769358
285	0.07366423609
286	0.07354691038
287	0.07344369017
288	0.07339608786
289	0.07318609218
290	0.07314346563
291	0.07305501761
292	0.07293437627
293	0.07285111038
294	0.07273822389
295	0.07258366631
296	0.07255412227
297	0.07244704794
298	0.07238656107
299	0.07216652696
300	0.07210843619
301	0.07196038108
302	0.07187435619
303	0.07183102625
304	0.07170840759
305	0.07157998825
306	0.0714239908
307	0.07129648746
308	0.07116557683
309	0.07097023415
310	0.07086733347
311	0.07069894122
312	0.07062393216
313	0.07054138972
314	0.07047304737
315	0.07036072464
316	0.07022130577
317	0.07018841885
318	0.07004076681
319	0.06993836351
320	0.06985181939
321	0.0697365607
322	0.06955974876
323	0.06943196728
324	0.06936913784
325	0.06918803476
326	0.06914074705
327	0.06900981182
328	0.06895328119
329	0.06886792013
330	0.06875876909
331	0.06863530521
332	0.06849833846
333	0.06844653781
334	0.06835740622
335	0.06829421661
336	0.06817848743
337	0.06803434033
338	0.06788761433
339	0.06774653461
340	0.06763749143
341	0.06755350441
342	0.06737533107
343	0.06722319362
344	0.06714360987
345	0.06705780371
346	0.06698971738
347	0.06690276244
348	0.06675634613
349	0.06664846423
350	0.06649958384
351	0.06628128599
352	0.06608128121
353	0.06593126268
354	0.06584731506
355	0.06573304372
356	0.06557540373
357	0.0654052883
358	0.06532673198
359	0.06528220878
360	0.06521352941
361	0.06509044776
362	0.0649894375
363	0.06487702065
364	0.06475958999
365	0.06463592327
366	0.06446499335
367	0.06425157599
368	0.06413705246
369	0.0640476598
370	0.06392240051
371	0.06378620623
372	0.06358069472
373	0.06341063756
374	0.06326572791
375	0.06319899481
376	0.0631023986
377	0.06299814407
378	0.06295200736
379	0.06289562912
380	0.06277733106
381	0.06264387637
382	0.06251868415
383	0.06240048872
384	0.06234070932
385	0.06225003152
386	0.06211645548
387	0.06208620306
388	0.06200688884
389	0.06188431235
390	0.06176671655
391	0.06174433314
392	0.06166532176
393	0.06153923143
394	0.06139234811
395	0.06125466477
396	0.06111795377
397	0.06108098117
398	0.0608904394
399	0.06077055875
400	0.06065805861
401	0.06052540092
402	0.0604395005
403	0.06036496134
404	0.06025074323
405	0.06017379577
406	0.06005969778
407	0.05989523501
408	0.05982813194
409	0.05972635982
410	0.0595696668
411	0.05951158418
412	0.05939295719
413	0.05933964398
414	0.05916442679
415	0.05902826365
416	0.05889805128
417	0.0587549164
418	0.05870959611
419	0.05862256052
420	0.05849958363
421	0.05840413039
422	0.05826535691
423	0.05817273504
424	0.05809373557
425	0.05800517774
426	0.05790898925
427	0.05778156948
428	0.05771055942
429	0.057645124
430	0.05758055936
431	0.05741176762
432	0.05722843563
433	0.05710944853
434	0.05698916972
435	0.05690983054
436	0.05680078017
437	0.05669151126
438	0.05662585952
439	0.05654376558
440	0.05645562299
441	0.056405168
442	0.05624861421
443	0.05616301408
444	0.05606650703
445	0.05594953159
446	0.05581040363
447	0.05570463097
448	0.05560756698
449	0.05549393451
450	0.055337408
451	0.05521249325
452	0.05513390732
453	0.05502697948
454	0.05493714683
455	0.05486237915
456	0.05470309039
457	0.05462807728
458	0.05457624889
459	0.05453473377
460	0.05438610091
461	0.05427147464
462	0.05420761486
463	0.05409896343
464	0.05398975226
465	0.05387363247
466	0.05376330519
467	0.05366305423
468	0.05352874672
469	0.05343252543
470	0.05332602674
471	0.05321504904
472	0.05313056392
473	0.05302098006
474	0.05292872472
475	0.05284038302
476	0.05279830752
477	0.05268330226
478	0.05258755088
479	0.05252874726
480	0.05242334287
481	0.05235726642
482	0.05224573798
483	0.05215673834
484	0.05205482239
485	0.05192042469
486	0.05182645768
487	0.05179116684
488	0.05171809297
489	0.05165010838
490	0.05161612319
491	0.05152775065
492	0.05142759725
493	0.05133082447
494	0.05123007222
495	0.05115566519
496	0.05113094298
497	0.05105582138
498	0.05097266135
499	0.05094775033
500	0.05081977564
501	0.05073835284
502	0.05065005585
503	0.05055400958
504	0.05048010652
505	0.05041311092
506	0.05033259941
507	0.05026297963
508	0.05016226931
509	0.05006636453
510	0.04999016723
511	0.04989017811
512	0.04978154774
513	0.04967843546
514	0.04959182
515	0.0495267053
516	0.04950037805
517	0.04941488671
518	0.04927390173
519	0.04916955704
520	0.04906667172
521	0.04897530391
522	0.04887863175
523	0.04880422029
524	0.04871068847
525	0.04862701953
526	0.04855203451
527	0.04845255273
528	0.04844254565
529	0.04835006296
530	0.04824706463
531	0.04818950669
532	0.04809691677
533	0.04799587031
534	0.04790910219
535	0.04782938997
536	0.04774067853
537	0.04768823985
538	0.0476137031
539	0.04752791428
540	0.04747263679
541	0.04740531329
542	0.04730645098
543	0.04723816723
544	0.04719644277
545	0.04710221593
546	0.04698778458
547	0.04690771463
548	0.04689358128
549	0.04682350157
550	0.04675347942
551	0.046693736
552	0.04666921007
553	0.0465622236
554	0.04648192528
555	0.04638591093
556	0.04629049903
557	0.04626947868
558	0.04623820731
559	0.04618898446
560	0.04610203389
561	0.04601326974
562	0.04596865895
563	0.04587650041
564	0.04577848391
565	0.04571421216
566	0.04563369636
567	0.04559288187
568	0.04550527238
569	0.04543441412
570	0.0453509723
571	0.04527559774
572	0.04522288075
573	0.04515107614
574	0.04514226919
575	0.04506854172
576	0.0450597291
577	0.04499050484
578	0.04490703823
579	0.04480068215
580	0.04469519375
581	0.04465917815
582	0.04460482755
583	0.04452432922
584	0.04447454482
585	0.04439243179
586	0.04431245247
587	0.04416216453
588	0.04409465565
589	0.04397978724
590	0.04388440294
591	0.04380023996
592	0.04379274141
593	0.04372519399
594	0.04364757451
595	0.04353702401
596	0.04345039426
597	0.04337355016
598	0.04328789747
599	0.04319112424
600	0.04313368379
601	0.04312247648
602	0.04303562487
603	0.04299613468
604	0.042942468
605	0.04287560999
606	0.04281673209
607	0.04274184367
608	0.04267887428
609	0.04257638992
610	0.04249970737
611	0.04242831127
612	0.04235168211
613	0.04226206638
614	0.04218270947
615	0.04205659489
616	0.04198598413
617	0.04197900229
618	0.04191058477
619	0.04182694293
620	0.04172729657
621	0.0416385836
622	0.04155933263
623	0.04145307092
624	0.04136273671
625	0.04129517638
626	0.04121680787
627	0.04109004562
628	0.04101402823
629	0.04092812088
630	0.04087149265
631	0.04081406423
632	0.04074084628
633	0.04066052597
634	0.04057367403
635	0.04053886973
636	0.04047594414
637	0.04039223193
638	0.04033070457
639	0.04024546847
640	0.04018357687
641	0.04008954285
642	0.03999324875
643	0.03990643663
644	0.03982197411
645	0.03977949209
646	0.03970910894
647	0.03965256458
648	0.03958101416
649	0.03953775327
650	0.03947974522
651	0.03942358556
652	0.03935737226
653	0.03928567899
654	0.03919811022
655	0.03914194602
656	0.03910916829
