iter	Passed	Remaining
494	634	647
495	636	646
496	637	645
497	638	644
498	640	642
499	641	641
500	642	640
501	643	638
502	645	637
503	646	636
504	647	634
505	649	633
506	650	632
507	651	631
508	652	629
509	654	628
510	655	627
511	656	625
512	657	624
513	659	623
514	660	621
515	661	620
516	662	619
517	664	618
518	665	616
519	666	615
520	667	614
521	669	612
522	670	611
523	671	610
524	673	609
525	674	607
526	675	606
527	676	605
528	678	603
529	679	602
530	680	601
531	681	599
532	683	598
533	684	597
534	685	596
535	687	594
536	688	593
537	689	592
538	691	591
539	692	589
540	693	588
541	694	587
542	696	585
543	697	584
544	698	583
545	699	582
546	701	580
547	702	579
548	703	578
549	705	576
550	706	575
551	707	574
552	708	572
553	710	571
554	711	570
555	712	569
556	714	567
557	715	566
558	716	565
559	717	563
560	719	562
561	720	561
562	721	560
563	722	558
564	724	557
565	725	556
566	726	555
567	728	553
568	729	552
569	730	551
570	732	549
571	733	548
572	734	547
573	735	546
574	736	544
575	738	543
576	739	542
577	741	541
578	742	539
579	743	538
580	744	537
581	746	535
582	747	534
583	748	533
584	750	532
585	751	530
586	752	529
587	754	528
588	755	527
589	756	525
590	757	524
591	759	523
592	760	521
593	761	520
594	763	519
595	764	518
596	765	516
597	766	515
598	768	514
599	769	512
600	770	511
601	772	510
602	773	509
603	774	507
604	775	506
605	777	505
606	778	504
607	779	502
608	780	501
609	782	500
610	783	498
611	784	497
612	785	496
613	787	494
614	788	493
615	789	492
616	791	491
617	792	489
618	793	488
619	794	487
620	796	485
621	797	484
622	798	483
623	800	482
624	801	480
625	802	479
626	803	478
627	805	477
628	806	475
629	807	474
630	809	473
631	810	471
632	811	470
633	812	469
634	814	467
635	815	466
636	816	465
637	817	464
638	819	462
639	820	461
640	821	460
641	823	458
642	824	457
643	825	456
644	826	455
645	828	453
646	829	452
647	830	451
648	831	449
649	833	448
650	834	447
651	835	446
652	837	444
653	838	443
654	839	442
655	841	441
656	842	439
657	843	438
658	844	437
659	846	435
660	847	434
661	848	433
662	850	432
663	851	430
664	852	429
665	854	428
666	855	427
667	856	425
668	857	424
669	859	423
670	860	421
671	861	420
672	862	419
673	864	418
674	865	416
675	866	415
676	868	414
677	869	412
678	870	411
679	872	410
680	873	409
681	874	407
682	875	406
683	877	405
684	878	403
685	879	402
686	880	401
687	882	400
688	883	398
689	884	397
690	886	396
691	887	394
692	888	393
693	889	392
694	891	391
695	892	389
696	893	388
697	894	387
698	896	386
699	897	384
700	899	383
701	900	382
702	901	380
703	903	379
704	904	378
705	905	377
706	906	375
707	908	374
708	909	373
709	910	371
710	911	370
711	913	369
712	914	368
713	915	366
714	917	365
715	918	364
716	919	362
717	920	361
718	922	360
719	923	359
720	925	357
721	926	356
722	927	355
723	929	354
724	930	352
725	931	351
726	932	350
727	934	349
728	935	347
729	936	346
730	938	345
731	939	343
732	940	342
733	942	341
734	943	340
735	944	338
736	946	337
737	947	336
738	948	335
739	950	333
740	951	332
741	952	331
742	954	330
743	955	328
744	956	327
745	957	326
746	959	324
747	960	323
748	961	322
749	963	321
750	964	319
751	965	318
752	967	317
753	968	315
754	969	314
755	970	313
756	972	312
757	973	310
758	975	309
759	976	308
760	977	307
761	978	305
762	980	304
763	981	303
764	982	301
765	984	300
766	985	299
767	986	298
768	988	296
769	989	295
770	990	294
771	991	292
772	993	291
773	994	290
774	995	289
775	997	287
776	998	286
777	999	285
778	1001	284
779	1002	282
780	1003	281
781	1004	280
782	1006	278
783	1007	277
784	1008	276
785	1010	275
786	1011	273
787	1012	272
788	1013	271
789	1015	269
790	1016	268
791	1017	267
792	1018	265
793	1020	264
794	1021	263
795	1022	262
796	1024	260
797	1025	259
798	1026	258
799	1027	256
800	1029	255
801	1030	254
802	1031	253
803	1033	251
804	1034	250
805	1035	249
806	1036	248
807	1038	246
808	1039	245
809	1040	244
810	1042	242
811	1043	241
812	1044	240
813	1046	239
814	1047	237
815	1048	236
816	1049	235
817	1051	233
818	1052	232
819	1053	231
820	1055	230
821	1056	228
822	1057	227
823	1058	226
824	1060	224
825	1061	223
826	1062	222
827	1064	221
828	1065	219
829	1066	218
830	1067	217
831	1069	215
832	1070	214
833	1071	213
834	1072	211
835	1074	210
836	1075	209
837	1076	208
838	1077	206
839	1079	205
840	1080	204
841	1081	202
842	1082	201
843	1084	200
844	1085	199
845	1087	197
846	1088	196
847	1089	195
848	1090	194
849	1092	192
850	1093	191
851	1094	190
852	1096	188
853	1097	187
854	1098	186
855	1099	185
856	1101	183
857	1102	182
858	1103	181
859	1104	179
