iter	RMSE
0	0.3933198121
1	0.3851738692
2	0.3724075628
3	0.3616570008
4	0.3515030955
5	0.3405344265
6	0.3303709623
7	0.3223383609
8	0.3156805636
9	0.3093247882
10	0.3014197403
11	0.2956520306
12	0.288789899
13	0.2827311864
14	0.2764668133
15	0.2703991828
16	0.2651441672
17	0.2595782522
18	0.2551218162
19	0.2505966148
20	0.2463072624
21	0.2406799123
22	0.2367091096
23	0.2326832393
24	0.229262933
25	0.2265992938
26	0.222574775
27	0.2191877592
28	0.2169701852
29	0.2135042832
30	0.2110327354
31	0.2077280362
32	0.2050617635
33	0.2023247832
34	0.1996884211
35	0.1971156183
36	0.1943587523
37	0.1925585599
38	0.1899378291
39	0.1878602863
40	0.1855891433
41	0.1833674379
42	0.1815855523
43	0.1800970667
44	0.1785057376
45	0.1769332373
46	0.1754940581
47	0.1739194118
48	0.1724949448
49	0.1711754346
50	0.1701591435
51	0.1694841305
52	0.1682425311
53	0.167346102
54	0.1661553241
55	0.1652225647
56	0.1640610841
57	0.1627553391
58	0.1619972242
59	0.1607538759
60	0.1599946423
61	0.1590433685
62	0.1581223132
63	0.1574193478
64	0.1569248393
65	0.1564534787
66	0.1556667734
67	0.1548262295
68	0.1542736099
69	0.1534199238
70	0.1527478395
71	0.1519396312
72	0.1510166675
73	0.1504589544
74	0.1497385823
75	0.1490986367
76	0.1484114912
77	0.1478213708
78	0.1472452404
79	0.1464628522
80	0.1460593835
81	0.1455637207
82	0.1446496944
83	0.1440917572
84	0.1436577307
85	0.1433322651
86	0.142875223
87	0.1423556966
88	0.1419478472
89	0.1413193495
90	0.1409639481
91	0.1406264872
92	0.140010105
93	0.1395728309
94	0.1393154661
95	0.1388523676
96	0.1384874381
97	0.1380154829
98	0.1375756759
99	0.1371033588
100	0.1366061592
101	0.1362362843
102	0.1359306116
103	0.1356715475
104	0.1353784137
105	0.135113165
106	0.1346383959
107	0.1343902923
108	0.1338457045
109	0.1335180475
110	0.1330799605
111	0.1327761367
112	0.1323907173
113	0.1321469656
114	0.1318543295
115	0.1315046739
116	0.1311615235
117	0.1308643961
118	0.1305131493
119	0.1302697038
120	0.1299266526
121	0.1295016554
122	0.1291667011
123	0.1289388913
124	0.1286840805
125	0.1282293788
126	0.127956706
127	0.1276478511
128	0.1271467302
129	0.1268959363
130	0.1267388639
131	0.12661166
132	0.1264677576
133	0.1261943959
134	0.1259092006
135	0.1256661328
136	0.1252339539
137	0.1246611811
138	0.1244162663
139	0.124190661
140	0.1239798775
141	0.1237183456
142	0.1235715471
143	0.1234910441
144	0.1231905967
145	0.1227826198
146	0.1222897935
147	0.1220001883
148	0.1216765389
149	0.1215579709
150	0.1213596015
151	0.1212777057
152	0.1208570599
153	0.1205197252
154	0.1201827961
155	0.1200067901
156	0.1198570565
157	0.1195088223
158	0.119332281
159	0.1191586776
160	0.1188037262
161	0.1186220344
162	0.1183287218
163	0.1180927391
164	0.11794624
165	0.1175480596
166	0.1172715201
167	0.116977819
168	0.1166906128
169	0.116484842
170	0.116384827
171	0.1160738859
172	0.1158335815
173	0.1154394703
174	0.1152548934
175	0.1149841696
176	0.1145925766
177	0.114370116
178	0.1139842346
179	0.1138412074
180	0.1136854152
181	0.1135679893
182	0.1132510175
183	0.1129183334
184	0.112848668
185	0.1126320899
186	0.1123877891
187	0.1123310006
188	0.1120206446
189	0.1117782056
190	0.1117187163
191	0.1115243248
192	0.1113851562
193	0.1112784816
194	0.1110174268
195	0.1107817856
196	0.1105935295
197	0.1102994546
198	0.1102617478
199	0.110018101
200	0.1098458323
201	0.1096510533
202	0.1092808458
203	0.109183422
204	0.1089573846
205	0.1088431208
206	0.1085418481
207	0.1082351523
208	0.1080633458
209	0.1080520113
210	0.1078219402
211	0.1076693588
212	0.1076259404
213	0.1075107516
214	0.1072206995
215	0.1071074132
216	0.1070372864
217	0.1068062107
218	0.1066424138
219	0.1064668465
220	0.1063017089
221	0.1060715263
222	0.105957216
223	0.1057670129
224	0.1056529294
225	0.105457333
226	0.1052954571
227	0.1051120515
228	0.1049566063
229	0.1047271051
230	0.1047026557
231	0.1045116936
232	0.10436499
233	0.1041916511
234	0.1039602416
235	0.1038827264
236	0.1036717078
237	0.1036473851
238	0.1035031081
239	0.1034031773
240	0.1032658162
241	0.1029224879
242	0.1028682386
243	0.1026940844
244	0.1025276086
245	0.1024963417
246	0.102340984
247	0.1021367249
248	0.1019615123
249	0.1018804388
250	0.1017671014
251	0.1015207844
252	0.1012788502
253	0.1011513691
254	0.101000545
255	0.1007728309
256	0.1006609774
257	0.1006362331
258	0.1004546066
259	0.100426174
260	0.100265474
